station_index,latitude,longitude,date_time,time_zone,aqi,city_name,city_url,dominant_pollution,pollution_co,pollution_dew,pollution_h,pollution_o3,pollution_p,pollution_pm10,pollution_pm25,pollution_r,pollution_so2,pollution_t
1287,45.61,126.615,2019-10-06 13:00:00,+08:00,31,https://aqicn.org/city/china/haerbin/pingfangdongqingchang,,pm10,1.9,,,27.7,,31,25,,2.6,
1288,45.9819,126.6106,2019-10-06 13:00:00,+08:00,59,https://aqicn.org/city/china/haerbin/hulanshizhuan,,pm25,2.8,-4.3,26,35.8,1008.4,53,59,,4.6,15.1
1289,45.6842,126.6206,2019-10-06 13:00:00,+08:00,60,https://aqicn.org/city/china/haerbin/shengnongkeyuan,,pm10,4.6,,,28.5,,60,30,,6.1,
1290,31.7848,117.196,2019-10-06 13:00:00,+08:00,55,https://aqicn.org/city/china/hefei/mingzhuguangchang,,pm25,4.6,,,19.1,,50,55,,3.1,
1291,31.8766,117.307,2019-10-06 13:00:00,+08:00,53,https://aqicn.org/city/china/hefei/sanlijie,,pm25,3.7,,,19.5,,48,53,,4.1,
1292,31.8706,117.259,2019-10-06 13:00:00,+08:00,50,https://aqicn.org/city/china/hefei/huposhanzhuang,,pm25,8.2,,,25.2,,38,50,,3.1,
1293,31.9051,117.16,2019-10-06 13:00:00,+08:00,28,https://aqicn.org/city/china/hefei/dongpushuiku,,pm10,6.4,,,27.7,,28,21,,6.6,
1294,31.8572,117.25,2019-10-06 13:00:00,+08:00,57,https://aqicn.org/city/china/hefei/changjiangzhonglu,,pm25,6.4,,,21.6,,49,57,,3.6,
1295,31.9438,117.266,2019-10-06 13:00:00,+08:00,46,https://aqicn.org/city/china/hefei/luyangqu,,pm10,3.7,,,26,,46,38,,3.6,
1296,31.8585,117.336,2019-10-06 12:00:00,+08:00,38,https://aqicn.org/city/china/hefei/yaohaiqu,,pm10,6.4,,,20.8,,38,38,,4.1,
1297,31.7956,117.302,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/hefei/baohequ,,pm25,4.6,,,19.1,,40,42,,2.6,
1298,31.7386,117.278,2019-10-06 13:00:00,+08:00,42,https://aqicn.org/city/china/hefei/binhuxinqu,,pm25,4.6,,,23.6,,38,42,,6.6,
1299,31.8516,117.124,2019-10-06 12:00:00,+08:00,46,https://aqicn.org/city/china/hefei/gaoxinqu,,pm25,1.9,,,20.4,,35,46,,3.6,
1300,24.818055556,118.15694444,2019-10-06 12:00:00,+08:00,82,https://aqicn.org/city/china/xiamen/xidong,,pm25,3.1,,,58.4,,38,82,,1.1,
1301,24.476666667,118.15138889,2019-10-06 12:00:00,+08:00,82,https://aqicn.org/city/china/xiamen/hongwen,,pm25,6.4,,,72.7,,56,82,,4.6,
1302,24.445833333,118.06361111,2019-10-06 12:00:00,+08:00,72,https://aqicn.org/city/china/xiamen/gulangyu,,pm25,5.5,,,83.2,,57,72,,1.6,
1303,,,,+0800,-,http://aqicn.org/city/china/xiamen/huli/,,,,,57,,1009,,,,,25
1304,28.6844,115.893,2019-10-06 13:00:00,+08:00,93,https://aqicn.org/city/china/nanchang/shengwaiban,,pm25,3.7,,65.1,31.7,1014.5,51,93,,3.6,
1305,28.6839,115.8886,2019-10-06 12:00:00,+08:00,74,https://aqicn.org/city/china/nanchang/shenglinyegongsi,,pm25,6.4,,65.1,27.3,1014.5,50,74,,6.1,
1306,28.7442,115.813,2019-10-06 12:00:00,+08:00,80,https://aqicn.org/city/china/nanchang/linkesuo,,pm25,5.5,,65.1,24.8,1014.5,52,80,,2.6,
1307,28.6969,115.973,2019-10-06 12:00:00,+08:00,99,https://aqicn.org/city/china/nanchang/jingdongzhenzhengfu,,pm25,5.5,,65.1,25.2,1014.5,41,99,,4.1,
